"","lc_var","exp","cum_exp","cum_pred_lc"
"1",22.9019875865154,0.166,4.34712699424451e-05,1.13225221013051e-05
"2",22.9019875865154,0.743,0.000238044484202907,2.26450442026102e-05
"3",22.9019875865154,0.073,0.000257161367972778,3.39675663039153e-05
"4",22.9019875865154,0.097,0.000282563254625893,4.52900884052204e-05
"5",22.9019875865154,0.416,0.000391503304602141,5.66126105065256e-05
"6",22.9019875865154,0.17,0.000436022075025127,6.79351326078307e-05
"7",22.9019875865154,0.141,0.000472946466964192,7.92576547091358e-05
"8",22.9019875865154,0.021,0.000478445844487031,9.05801768104409e-05
"9",22.9019875865154,0.916,0.000718323454530885,0.000101902698911746
"10",22.9019875865154,0.403,0.000823859127945375,0.000113225221013051
"11",22.9019875865154,0.333,0.0009110635429504,0.000124547743114356
"12",22.9019875865154,0.833,0.00112920551802303,0.000135870265215661
"13",22.9019875865154,0.666,0.00130361434803308,0.000147192787316966
"14",22.9019875865154,0.009,0.0013059712241143,0.000158515309418272
"15",22.9019875865154,0.803,0.00151625694558287,0.000169837831519577
"16",22.9019875865154,0.038,0.00152620820014801,0.000181160353620882
"17",22.9019875865154,0.25,0.00159167698018181,0.000192482875722187
"18",22.9019875865154,0.083,0.00161341261515304,0.000203805397823492
"19",22.9019875865154,0.173,0.00165871701093643,0.000215127919924797
"20",22.9019875865154,0.166,0.00170218828087887,0.000226450442026102
"21",22.9019875865154,0.583,0.0018548614759177,0.000237772964127407
"22",22.9019875865154,0.292,0.00193132901099718,0.000249095486228712
"23",22.9019875865154,1,0.0021932041311324,0.000260418008330018
"24",22.9019875865154,0.652,0.00236394670946055,0.000271740530431323
"25",22.9019875865154,0.25,0.00242941548949436,0.000283063052532628
"26",22.9019875865154,0.874,0.00265829434449253,0.000294385574633933
"27",22.9019875865154,0.333,0.00274549875949756,0.000305708096735238
"28",22.9019875865154,0.177,0.00279185065576149,0.000317030618836543
"29",22.9019875865154,0.611,0.0029518563541641,0.000328353140937848
"30",22.9019875865154,0.094,0.00297647261545681,0.000339675663039153
"31",22.9019875865154,0.03,0.00298432886906087,0.000350998185140458
"32",22.9019875865154,0.833,0.0032024708441335,0.000362320707241764
"33",22.9019875865154,0.416,0.00331141089410975,0.000373643229343069
"34",22.9019875865154,0.249,0.00337661779902342,0.000384965751444374
"35",22.9019875865154,0.166,0.00342008906896586,0.000396288273545679
"36",22.9019875865154,0.292,0.00349655660404534,0.000407610795646984
"37",22.9019875865154,0.094,0.00352117286533805,0.000418933317748289
"38",22.9019875865154,0.416,0.0036301129153143,0.000430255839849594
"39",22.9019875865154,0.207,0.00368432106518229,0.000441578361950899
"40",22.9019875865154,0.118,0.00371522232935824,0.000452900884052204
"41",22.9019875865154,0.01,0.0037178410805596,0.00046422340615351
"42",22.9019875865154,0.416,0.00382678113053584,0.000475545928254815
"43",22.9019875865154,0.666,0.00400118996054589,0.00048686845035612
"44",22.9019875865154,0.083,0.00402292559551712,0.000498190972457425
"45",22.9019875865154,0.416,0.00413186564549336,0.00050951349455873
